          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
   1    0003.0f18.e3e4    DYNAMIC     Po4
   1    0003.0f18.e44e    DYNAMIC     Po4
   1    0008.205b.f180    DYNAMIC     Po4
   1    0008.205b.fac0    DYNAMIC     Po4
   1    0008.205c.2480    DYNAMIC     Po4
   1    0008.205c.2e80    DYNAMIC     Po4
   1    0008.205c.2f40    DYNAMIC     Po4
   1    0008.205c.3040    DYNAMIC     Po4
   1    0008.205c.3240    DYNAMIC     Po4
   1    0008.205c.3a40    DYNAMIC     Po4
   1    0008.205c.4180    DYNAMIC     Po4
   1    0008.20fd.6b80    DYNAMIC     Po4
   1    0008.20fd.78c0    DYNAMIC     Po4
   1    0008.e33a.2440    DYNAMIC     Po4
   1    0008.e33a.29c0    DYNAMIC     Po4
   1    0008.e33a.2d80    DYNAMIC     Po4
   1    0009.6b89.0666    DYNAMIC     Po4
   1    0013.49ba.ab1d    DYNAMIC     Po4
   1    0015.77b5.d504    DYNAMIC     Po4
   1    0015.77b6.1684    DYNAMIC     Po4
   1    0015.77b6.1724    DYNAMIC     Po4
   1    0018.742c.8880    DYNAMIC     Po4
   1    0019.e72a.77df    DYNAMIC     Gi0/1
   1    0021.5571.f380    DYNAMIC     Gi0/1
   1    0021.5572.0740    DYNAMIC     Gi0/1
   1    0021.55fb.8ec0    DYNAMIC     Gi0/1
   1    0021.55fb.d880    DYNAMIC     Gi0/1
   1    0050.569a.3d4e    DYNAMIC     Po3
   1    0050.569f.056d    DYNAMIC     Po4
   1    18ef.63ee.2bad    DYNAMIC     Po3
   1    18ef.63ee.2bae    DYNAMIC     Po3
   1    18ef.63ee.2baf    DYNAMIC     Po3
   1    18ef.63ee.2bb0    DYNAMIC     Po3
   1    3cdf.1e16.d595    DYNAMIC     Po4
   1    3cdf.1e16.d596    DYNAMIC     Po4
   1    3cdf.1e16.d597    DYNAMIC     Po4
   1    3cdf.1e16.d598    DYNAMIC     Po4
   1    68b5.9975.e9ba    DYNAMIC     Po4
   1    6cae.8ba1.dc00    DYNAMIC     Gi0/1
   1    6cae.8ba2.7700    DYNAMIC     Gi0/1
   1    6cfa.5812.1801    DYNAMIC     Po4
   1    6cfa.5812.2001    DYNAMIC     Po4
   1    6cfa.5812.2801    DYNAMIC     Po4
   1    a055.4ff5.8477    DYNAMIC     Po4
   1    eccd.6d70.0002    DYNAMIC     Po4
   1    f4ac.c1c0.8218    DYNAMIC     Gi0/19
   5    0000.6819.e2b0    DYNAMIC     Gi0/1
   5    0000.6819.ed48    DYNAMIC     Gi0/1
   5    0014.5ee1.3fcc    DYNAMIC     Gi0/1
   5    0014.5ee1.3fd0    DYNAMIC     Gi0/1
   5    0014.5ee1.405c    DYNAMIC     Gi0/1
   5    0014.5ee1.40a0    DYNAMIC     Gi0/1
   5    0015.5d09.040c    DYNAMIC     Gi0/1
   5    0016.9d3d.af40    DYNAMIC     Gi0/1
   5    001b.d45c.9cff    DYNAMIC     Gi0/1
   5    00c0.b751.8e74    DYNAMIC     Gi0/1
   5    00c0.b7b6.a804    DYNAMIC     Gi0/1
   5    2893.feb1.12c1    DYNAMIC     Gi0/1
   5    5cf3.fca9.8350    DYNAMIC     Gi0/1
   5    5cf3.fcef.5966    DYNAMIC     Gi0/1
   5    5cf3.fcef.59e6    DYNAMIC     Gi0/1
   5    e41f.134b.3624    DYNAMIC     Gi0/1
   5    e41f.1385.08b6    DYNAMIC     Gi0/1
   5    e41f.1385.093c    DYNAMIC     Gi0/1
  37    0009.6b89.0668    DYNAMIC     Po4
  37    0019.99c0.2e78    DYNAMIC     Po4
  37    0026.0bb8.81d0    DYNAMIC     Gi0/19
  37    0026.b905.5aa4    DYNAMIC     Po4
  37    0026.b95c.4ba5    DYNAMIC     Po4
  37    0030.48c5.a064    DYNAMIC     Po4
  37    0030.48cd.53dc    DYNAMIC     Po4
  37    0050.569a.1eca    DYNAMIC     Po3
  37    0050.569a.486e    DYNAMIC     Po3
  37    0800.37a6.ef3f    DYNAMIC     Po4
  37    3cdf.1e16.d598    DYNAMIC     Po4
  37    d8d3.85c1.e18d    DYNAMIC     Po4
  38    001b.2144.cb34    DYNAMIC     Po4
  38    3cdf.1e16.d598    DYNAMIC     Po4
  38    78ac.c0f8.6998    DYNAMIC     Gi0/19
  91    0000.21ff.ffff    DYNAMIC     Po4
  91    0001.6cdd.736a    DYNAMIC     Po4
  91    0002.4496.5f74    DYNAMIC     Po4
  91    0004.7696.d0ba    DYNAMIC     Po4
  91    000c.2982.7c80    DYNAMIC     Po4
  91    000f.ea46.0d3a    DYNAMIC     Po4
  91    0013.fa06.169e    DYNAMIC     Po4
  91    0017.9a95.6204    DYNAMIC     Po4
  91    001b.fcb1.30e2    DYNAMIC     Po4
  91    0024.811a.6cc9    DYNAMIC     Po4
  91    0030.0586.92ef    DYNAMIC     Po4
  91    0048.5461.30d0    DYNAMIC     Po4
  91    0800.37df.0d54    DYNAMIC     Po4
  91    1092.66cf.931a    DYNAMIC     Po4
  91    1822.7ef7.1f69    DYNAMIC     Po4
  91    30a8.db0a.0b5f    DYNAMIC     Po4
  91    3cdf.1e16.d598    DYNAMIC     Po4
  91    48d2.244e.3e48    DYNAMIC     Po4
  91    502e.5cc1.c1e3    DYNAMIC     Po4
  91    5254.000a.4e68    DYNAMIC     Po4
  91    5254.006f.ec8d    DYNAMIC     Po4
  91    6477.91a4.9e6f    DYNAMIC     Po4
  91    703e.accf.a112    DYNAMIC     Po4
  91    7cc5.378d.b251    DYNAMIC     Po4
  91    8832.9b9d.c4db    DYNAMIC     Po4
  91    8cfa.ba64.81da    DYNAMIC     Po4
  91    c434.6b61.f8c4    DYNAMIC     Po4
  91    c434.6b61.f8f5    DYNAMIC     Po4
  91    c434.6b73.57a3    DYNAMIC     Po4
  91    c434.6b73.57cd    DYNAMIC     Po4
  91    c434.6b73.57d6    DYNAMIC     Po4
  91    c434.6b73.57d9    DYNAMIC     Po4
  91    c434.6b73.57dd    DYNAMIC     Po4
  98    0018.742c.8880    DYNAMIC     Po4
  98    3cdf.1e16.d598    DYNAMIC     Po4
 100    0000.e888.da89    DYNAMIC     Po4
 100    0002.4453.7a73    DYNAMIC     Po4
 100    0004.614e.5be8    DYNAMIC     Po4
 100    0004.75cb.b4df    DYNAMIC     Po4
 100    0004.e254.becc    DYNAMIC     Po4
 100    000b.3f10.3c1e    DYNAMIC     Po4
 100    000c.2934.5202    DYNAMIC     Po4
 100    000c.2934.52f8    DYNAMIC     Po4
 100    000c.2952.ec70    DYNAMIC     Po4
 100    000c.2955.b0f8    DYNAMIC     Po4
 100    000c.2956.e5d2    DYNAMIC     Po4
 100    000c.29d1.5680    DYNAMIC     Po4
 100    000c.42ae.1bb8    DYNAMIC     Po4
 100    000c.4604.d6d4    DYNAMIC     Po4
 100    000d.6084.98d3    DYNAMIC     Po4
 100    000e.a6f1.d50c    DYNAMIC     Po4
 100    0010.b568.8d3f    DYNAMIC     Po4
 100    0014.5e20.82c1    DYNAMIC     Po4
 100    0015.1712.0a55    DYNAMIC     Po4
 100    0015.1718.7c51    DYNAMIC     Po4
 100    0015.17fa.d2e1    DYNAMIC     Po4
 100    0015.605e.e785    DYNAMIC     Po4
 100    0015.6d3a.f208    DYNAMIC     Po4
 100    0015.775d.c30b    DYNAMIC     Po4
 100    0018.742c.8880    DYNAMIC     Po4
 100    0018.e7e2.e1f9    DYNAMIC     Po4
 100    0019.667a.9510    DYNAMIC     Po4
 100    0019.667a.9528    DYNAMIC     Po4
 100    001a.64cb.983d    DYNAMIC     Po4
 100    001a.64cb.99b7    DYNAMIC     Po4
 100    001a.a019.c34d    DYNAMIC     Po4
 100    001a.a019.c651    DYNAMIC     Po4
 100    001c.f080.46df    DYNAMIC     Po4
 100    001e.5811.3c25    DYNAMIC     Po4
 100    001f.d094.bbb3    DYNAMIC     Po4
 100    001f.e263.4699    DYNAMIC     Po4
 100    0021.5e54.7186    DYNAMIC     Po4
 100    0021.b7b8.3738    DYNAMIC     Po4
 100    0023.33f8.0da0    DYNAMIC     Po4
 100    0024.01df.c886    DYNAMIC     Po4
 100    0025.2210.7732    DYNAMIC     Po4
 100    0026.18d4.2bcf    DYNAMIC     Po4
 100    0026.b947.79f2    DYNAMIC     Po4
 100    0030.4864.ca6c    DYNAMIC     Po4
 100    0050.0432.0844    DYNAMIC     Po4
 100    0050.2289.d05c    DYNAMIC     Po4
 100    0050.569a.5bd9    DYNAMIC     Po3
 100    00e0.4c5d.ebb2    DYNAMIC     Po4
 100    04fe.7f1a.b87e    DYNAMIC     Po4
 100    20cf.3064.e9e9    DYNAMIC     Po4
 100    2c27.d7f0.d014    DYNAMIC     Po4
 100    38ea.a709.ce05    DYNAMIC     Po4
 100    3cdf.1e16.d598    DYNAMIC     Po4
 100    4061.867f.8ae4    DYNAMIC     Po4
 100    5453.ed2d.942d    DYNAMIC     Po4
 100    54a0.5084.c296    DYNAMIC     Po4
 100    5cf3.fce5.a71c    DYNAMIC     Po4
 100    6805.ca02.23d0    DYNAMIC     Po4
 100    6805.ca02.2910    DYNAMIC     Po4
 100    68b5.9975.fa92    DYNAMIC     Po4
 100    7824.af38.c0d9    DYNAMIC     Po4
 100    80c1.6eec.a943    DYNAMIC     Po4
 100    901b.0e41.990f    DYNAMIC     Po4
 100    902b.3471.6f91    DYNAMIC     Po4
 100    984b.e167.6168    DYNAMIC     Po4
 100    acf1.df77.125d    DYNAMIC     Po4
 100    bc5f.f4c0.6140    DYNAMIC     Po4
 100    c8d7.1909.b390    DYNAMIC     Po4
 100    d4be.d978.e224    DYNAMIC     Po4
 100    d8d3.85d7.b823    DYNAMIC     Po4
 100    eee1.4be4.5051    DYNAMIC     Po4
 100    fccf.62a4.1400    DYNAMIC     Po4
 137    0006.6721.8624    DYNAMIC     Gi0/19
 137    0008.205c.2500    DYNAMIC     Po4
 137    0008.a327.8900    DYNAMIC     Po4
 137    0009.0f9f.b4be    DYNAMIC     Po4
 137    0009.0fa1.a1de    DYNAMIC     Po4
 137    0009.0fa1.a35e    DYNAMIC     Po4
 137    0009.0fa1.a44e    DYNAMIC     Po4
 137    0009.0fa1.ad1e    DYNAMIC     Po4
 137    0009.0fa1.ae5e    DYNAMIC     Po4
 137    0009.0fa1.af3e    DYNAMIC     Po4
 137    0009.0fa1.af8e    DYNAMIC     Po4
 137    0009.0fa1.b0be    DYNAMIC     Po4
 137    0009.0fa1.b15e    DYNAMIC     Po4
 137    0009.0ffd.01fe    DYNAMIC     Po4
 137    0011.321e.f6c2    DYNAMIC     Po3
 137    001b.2144.cb34    DYNAMIC     Po4
 137    001b.214d.cbfb    DYNAMIC     Po3
 137    001b.7802.5e64    DYNAMIC     Po3
 137    0021.5aa5.6102    DYNAMIC     Po3
 137    0021.5aa5.918c    DYNAMIC     Po3
 137    0021.a162.9741    DYNAMIC     Po4
 137    0023.ebbb.f150    DYNAMIC     Gi0/19
 137    0050.569a.000c    DYNAMIC     Po3
 137    0050.569a.29cb    DYNAMIC     Po3
 137    0050.569a.737a    DYNAMIC     Po3
 137    0050.56b7.1580    DYNAMIC     Po3
 137    0050.56b7.1a6b    DYNAMIC     Po3
 137    0050.56b7.1ad6    DYNAMIC     Po3
 137    0050.56b7.34c9    DYNAMIC     Po3
 137    0050.56b7.7f03    DYNAMIC     Po3
 137    18ef.63ee.2bc2    DYNAMIC     Po3
 137    3cdf.1e16.d5c1    DYNAMIC     Po4
 137    78ac.c0f8.51d0    DYNAMIC     Po3
 137    78ac.c0f8.51d8    DYNAMIC     Gi0/19
 137    dc7b.940b.b541    DYNAMIC     Po4
 137    dc7b.940b.d541    DYNAMIC     Po4
 137    dc7b.943b.1e41    DYNAMIC     Po4
 137    dc7b.949f.1141    DYNAMIC     Po4
 137    dc7b.949f.11c1    DYNAMIC     Po4
 137    dc7b.94a0.0541    DYNAMIC     Po4
 137    dc7b.94a1.a5c1    DYNAMIC     Po4
 137    dc7b.94ad.0d41    DYNAMIC     Po4
 137    dc7b.94b9.b841    DYNAMIC     Po4
 137    f4ac.c197.a6c1    DYNAMIC     Po4
 137    f4ac.c1c0.8241    DYNAMIC     Gi0/19
 225    0023.ebbb.f14c    DYNAMIC     Gi0/11
 225    4084.9311.4123    DYNAMIC     Po4
 226    0011.321e.f6c1    DYNAMIC     Po3
 226    001b.2144.cb34    DYNAMIC     Po4
 226    0026.0bb8.81d0    DYNAMIC     Gi0/19
 226    0050.569a.0006    DYNAMIC     Po3
 226    0050.569a.000d    DYNAMIC     Po3
 226    0050.569a.2822    DYNAMIC     Po3
 226    0050.569a.3f90    DYNAMIC     Po3
 226    0050.569a.46b9    DYNAMIC     Po3
 226    0050.56b7.47c5    DYNAMIC     Po3
 226    cc5d.4e40.e67c    DYNAMIC     Po4
 227    0004.23c2.6174    DYNAMIC     Gi0/10
 227    000c.2951.fa62    DYNAMIC     Gi0/1
 227    000c.296c.eb52    DYNAMIC     Gi0/1
 227    000c.2985.2086    DYNAMIC     Gi0/1
 227    000c.298d.54f0    DYNAMIC     Gi0/1
 227    000c.298d.54fa    DYNAMIC     Gi0/1
 227    000c.29a5.81c1    DYNAMIC     Gi0/1
 227    000c.29cc.dc41    DYNAMIC     Gi0/1
 227    000c.29e3.6cf1    DYNAMIC     Po4
 227    000c.29f4.9f7a    DYNAMIC     Gi0/1
 227    0011.3235.71b3    DYNAMIC     Po5
 227    0011.3235.71b4    DYNAMIC     Po5
 227    0011.3235.71b5    DYNAMIC     Po5
 227    0011.3235.71b6    DYNAMIC     Po5
 227    0013.2095.b792    DYNAMIC     Po4
 227    0015.5d09.052b    DYNAMIC     Gi0/1
 227    0016.3504.2bcf    DYNAMIC     Po4
 227    0018.5116.df6d    DYNAMIC     Po4
 227    0018.516c.1f9e    DYNAMIC     Po4
 227    0018.5175.34c2    DYNAMIC     Po4
 227    0018.517c.b107    DYNAMIC     Po4
 227    0018.51a1.b1b5    DYNAMIC     Po4
 227    0018.51ea.5f54    DYNAMIC     Po4
 227    001b.2144.cb34    DYNAMIC     Po4
 227    001c.c0a2.c5b4    DYNAMIC     Po4
 227    001d.d8b7.1c00    DYNAMIC     Gi0/1
 227    001f.d0a1.f215    DYNAMIC     Po4
 227    0022.6489.b918    DYNAMIC     Po4
 227    0025.9053.68cc    DYNAMIC     Po4
 227    0050.569a.0003    DYNAMIC     Po3
 227    0050.569a.0008    DYNAMIC     Po3
 227    0050.569a.19eb    DYNAMIC     Po3
 227    0050.569a.4be8    DYNAMIC     Po3
 227    0050.569a.5380    DYNAMIC     Po3
 227    0050.56b7.0738    DYNAMIC     Po3
 227    0050.56b7.0794    DYNAMIC     Po3
 227    0050.56b7.0a00    DYNAMIC     Po3
 227    0050.56b7.0bad    DYNAMIC     Po3
 227    0050.56b7.0ff4    DYNAMIC     Po3
 227    0050.56b7.113b    DYNAMIC     Po3
 227    0050.56b7.1534    DYNAMIC     Po3
 227    0050.56b7.1a68    DYNAMIC     Po3
 227    0050.56b7.1e34    DYNAMIC     Po3
 227    0050.56b7.2224    DYNAMIC     Po3
 227    0050.56b7.2226    DYNAMIC     Po3
 227    0050.56b7.244c    DYNAMIC     Po3
 227    0050.56b7.2663    DYNAMIC     Po3
 227    0050.56b7.2da2    DYNAMIC     Po3
