sw-ef00#sh mac address-table
          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
 137    0003.051c.69c8    DYNAMIC     Po1
 137    0008.205c.2500    DYNAMIC     Gi0/10
 137    0009.0f9f.b4be    DYNAMIC     Gi0/8
 137    0009.0fa1.a1de    DYNAMIC     Gi0/8
 137    0009.0fa1.a35e    DYNAMIC     Gi0/5
 137    0009.0fa1.a44e    DYNAMIC     Gi0/14
 137    0009.0fa1.ad1e    DYNAMIC     Gi0/10
 137    0009.0fa1.ae5e    DYNAMIC     Gi0/5
 137    0009.0fa1.af3e    DYNAMIC     Gi0/5
 137    0009.0fa1.af8e    DYNAMIC     Gi0/14
 137    0009.0fa1.b15e    DYNAMIC     Gi0/8
 137    0011.321e.f6c2    DYNAMIC     Po1
 137    001b.2144.cb34    DYNAMIC     Gi0/19
 137    001b.214d.cbfb    DYNAMIC     Po1
 137    001b.7802.5e64    DYNAMIC     Po1
 137    001d.70a5.7317    DYNAMIC     Po1
 137    001d.70a5.7346    DYNAMIC     Po1
 137    0021.5aa5.6102    DYNAMIC     Po1
 137    0021.5aa5.918c    DYNAMIC     Po1
 137    0023.ebbb.f150    DYNAMIC     Po1
 137    0050.569a.000c    DYNAMIC     Po1
 137    0050.569a.438d    DYNAMIC     Po1
 137    0050.569a.737a    DYNAMIC     Po1
 137    0050.56b7.0e18    DYNAMIC     Po1
 137    0050.56b7.1580    DYNAMIC     Po1
 137    0050.56b7.1a6b    DYNAMIC     Po1
 137    0050.56b7.1ad6    DYNAMIC     Po1
 137    0050.56b7.2fd9    DYNAMIC     Po1
 137    0050.56b7.34c9    DYNAMIC     Po1
 137    0050.56b7.3c8a    DYNAMIC     Po1
 137    0050.56b7.7f03    DYNAMIC     Po1
 137    18ef.63ee.2bc2    DYNAMIC     Po1
 137    78ac.c0f8.51d0    DYNAMIC     Po1
 137    78ac.c0f8.51d8    DYNAMIC     Po1
 137    dc7b.940b.b541    DYNAMIC     Gi0/4
 137    dc7b.940b.d541    DYNAMIC     Gi0/5
 137    dc7b.943b.1e41    DYNAMIC     Gi0/2
 137    dc7b.949f.1141    DYNAMIC     Gi0/3
 137    dc7b.949f.11c1    DYNAMIC     Gi0/10
 137    dc7b.94a0.0541    DYNAMIC     Gi0/8
 137    dc7b.94a1.a5c1    DYNAMIC     Gi0/6
 137    dc7b.94ad.0d41    DYNAMIC     Gi0/1
 137    dc7b.94b9.b841    DYNAMIC     Gi0/7
 137    f4ac.c197.a6c1    DYNAMIC     Gi0/14
 227    000c.29e3.6cf1    DYNAMIC     Gi0/5
 227    000f.fe6f.58ea    DYNAMIC     Gi0/14
 227    0013.2095.b792    DYNAMIC     Gi0/14
 227    0016.3504.2bcf    DYNAMIC     Gi0/6
 227    0018.5116.df6d    DYNAMIC     Gi0/14
 227    0018.516c.1f9e    DYNAMIC     Gi0/14
 227    0018.5175.34c2    DYNAMIC     Gi0/14
 227    0018.517c.b107    DYNAMIC     Gi0/14
 227    0018.51a1.b1b5    DYNAMIC     Gi0/14
 227    0018.51ea.5f54    DYNAMIC     Gi0/14
 227    0019.214f.61de    DYNAMIC     Gi0/14
 227    0019.b9b7.8fb8    DYNAMIC     Gi0/14
 227    001b.2144.cb34    DYNAMIC     Gi0/19
 227    001c.c0a2.c5b4    DYNAMIC     Gi0/16
 227    001d.70a5.7317    DYNAMIC     Po1
 227    001d.70a5.734a    DYNAMIC     Po1
 227    001f.d0a1.f215    DYNAMIC     Gi0/14
 227    0022.6489.b918    DYNAMIC     Gi0/14
 227    0025.9053.68cc    DYNAMIC     Gi0/6
 227    0050.56b7.2224    DYNAMIC     Po1
 227    0050.56b7.25f4    DYNAMIC     Po1
 227    0050.56b7.57db    DYNAMIC     Po1
 227    0050.56b7.7023    DYNAMIC     Gi0/6
 227    00e0.4cf8.25a5    DYNAMIC     Gi0/14
 227    10fe.ed7b.4ddf    DYNAMIC     Gi0/6
 227    68b5.99e3.fea7    DYNAMIC     Gi0/14
 227    78ac.c0ff.7f4c    DYNAMIC     Gi0/14
 227    b8ac.6f8c.f298    DYNAMIC     Gi0/5
 227    b8ac.6f8c.f29a    DYNAMIC     Gi0/5
 666    000c.29e3.6cf1    DYNAMIC     Gi0/12
 666    0018.5175.34c2    DYNAMIC     Gi0/12
 666    0018.51a1.b1b5    DYNAMIC     Gi0/12
 666    0019.b9b7.8fb8    DYNAMIC     Gi0/12
 666    001b.2144.cb34    DYNAMIC     Gi0/12
 666    001c.c0a2.c5b4    DYNAMIC     Gi0/12
 666    001d.70a5.734a    DYNAMIC     Gi0/12
 666    0025.9053.68cc    DYNAMIC     Gi0/12
 666    0050.56b7.2224    DYNAMIC     Gi0/12
 666    0050.56b7.25f4    DYNAMIC     Gi0/12
 666    0050.56b7.57db    DYNAMIC     Gi0/12
 666    0050.56b7.7023    DYNAMIC     Po1
 666    00e0.4cf8.25a5    DYNAMIC     Gi0/12
 666    78ac.c0ff.7f4c    DYNAMIC     Gi0/12
 666    b8ac.6f8c.f29a    DYNAMIC     Gi0/12
 666    dc7b.94a1.a5a1    DYNAMIC     Gi0/12
   1    0003.0f18.e44e    DYNAMIC     Gi0/20
   1    0008.205b.c740    DYNAMIC     Gi0/20
   1    0008.205b.f180    DYNAMIC     Gi0/20
   1    0008.205c.2480    DYNAMIC     Gi0/20
   1    0008.205c.2a80    DYNAMIC     Gi0/20
   1    0008.205c.2cc0    DYNAMIC     Gi0/20
   1    0008.205c.2dc0    DYNAMIC     Gi0/20
   1    0008.205c.2e80    DYNAMIC     Gi0/20
   1    0008.205c.2f40    DYNAMIC     Gi0/20
   1    0008.205c.3040    DYNAMIC     Gi0/20
   1    0008.205c.3240    DYNAMIC     Gi0/20
   1    0008.205c.3a40    DYNAMIC     Gi0/20
   1    0008.205c.3d00    DYNAMIC     Gi0/20
   1    0008.205c.5080    DYNAMIC     Gi0/20
   1    0008.205c.5600    DYNAMIC     Gi0/20
   1    0008.20fd.6b80    DYNAMIC     Gi0/20
   1    0008.20fd.78c0    DYNAMIC     Gi0/20
   1    0008.e33a.2440    DYNAMIC     Gi0/20
   1    0008.e33a.2880    DYNAMIC     Gi0/20
   1    0008.e33a.29c0    DYNAMIC     Gi0/20
   1    0008.e33a.29d5    DYNAMIC     Gi0/20
   1    0008.e33a.2d80    DYNAMIC     Gi0/20
   1    0008.e33a.3100    DYNAMIC     Gi0/20
   1    000c.29de.307c    DYNAMIC     Gi0/20
   1    0018.742c.8880    DYNAMIC     Gi0/20
   1    001d.70a5.7314    DYNAMIC     Po1
   1    001d.70a5.7315    DYNAMIC     Po1
   1    001d.70a5.7316    DYNAMIC     Po1
   1    001d.70a5.7317    DYNAMIC     Po1
   1    001d.70a5.7340    DYNAMIC     Po1
   1    0021.a162.9714    DYNAMIC     Gi0/10
   1    0050.569a.3d4e    DYNAMIC     Po1
   1    6cae.8ba2.7700    DYNAMIC     Po1
   1    6cfa.5812.1801    DYNAMIC     Gi0/20
   1    6cfa.5812.2001    DYNAMIC     Gi0/20
   1    6cfa.5812.2801    DYNAMIC     Gi0/20
   1    dc7b.940b.b531    DYNAMIC     Gi0/4
   1    dc7b.940b.d531    DYNAMIC     Gi0/5
   1    dc7b.943b.1e31    DYNAMIC     Gi0/2
   1    dc7b.949f.1119    DYNAMIC     Gi0/3
   1    dc7b.94a0.0519    DYNAMIC     Gi0/8
   1    dc7b.94a1.a5b1    DYNAMIC     Gi0/6
   1    dc7b.94ad.0d19    DYNAMIC     Gi0/1
   1    dc7b.94b9.b831    DYNAMIC     Gi0/7
   1    f4ac.c197.a699    DYNAMIC     Gi0/14
  37    0008.e33a.29d5    DYNAMIC     Gi0/20
  37    0009.6b89.0668    DYNAMIC     Gi0/18
  37    000c.290d.67e6    DYNAMIC     Gi0/6
  37    000c.29ac.a07c    DYNAMIC     Gi0/6
  37    000c.29b2.a75d    DYNAMIC     Gi0/6
  37    0016.3e2d.d8a9    DYNAMIC     Gi0/20
  37    0016.3ec2.8bf1    DYNAMIC     Gi0/20
  37    0016.3ec6.0e25    DYNAMIC     Gi0/20
  37    0019.99c0.2e78    DYNAMIC     Gi0/20
  37    001a.4d53.e588    DYNAMIC     Gi0/20
  37    0026.0bb8.81d0    DYNAMIC     Po1
  37    0026.b905.5aa4    DYNAMIC     Gi0/7
  37    0026.b95c.4ba5    DYNAMIC     Gi0/6
  37    0030.487b.0e7a    DYNAMIC     Gi0/7
  37    0030.487b.0e7e    DYNAMIC     Gi0/7
  37    0030.48c5.a064    DYNAMIC     Gi0/7
  37    0030.48cd.53c9    DYNAMIC     Gi0/7
  37    0050.569a.1eca    DYNAMIC     Po1
  37    0050.569a.486e    DYNAMIC     Po1
  37    0050.56b7.0300    DYNAMIC     Po1
  37    0800.2759.296e    DYNAMIC     Gi0/7
  37    0800.2774.7edc    DYNAMIC     Gi0/7
  37    0800.37a6.ef3f    DYNAMIC     Gi0/7
  37    c8be.1960.6d25    DYNAMIC     Gi0/20
  37    d8d3.85c1.e18d    DYNAMIC     Gi0/7
  38    0008.e33a.29d5    DYNAMIC     Gi0/20
  38    001b.2144.cb34    DYNAMIC     Gi0/19
  38    78ac.c0f8.6998    DYNAMIC     Po1
  91    0000.21ff.ffff    DYNAMIC     Gi0/20
  91    0001.6cdd.731c    DYNAMIC     Gi0/20
  91    0001.6cdd.7396    DYNAMIC     Gi0/20
  91    0002.4496.5f74    DYNAMIC     Gi0/20
  91    0004.7696.d0ba    DYNAMIC     Gi0/20
  91    0008.e33a.29d5    DYNAMIC     Gi0/20
  91    000c.2982.7c80    DYNAMIC     Gi0/20
  91    0017.9a95.6204    DYNAMIC     Gi0/20
  91    0863.610d.1bbd    DYNAMIC     Gi0/20
  91    0c96.bfe3.5a3d    DYNAMIC     Gi0/20
  91    145a.05d1.bce4    DYNAMIC     Gi0/20
  91    2898.7b90.52f8    DYNAMIC     Gi0/20
  91    289a.fa0b.a251    DYNAMIC     Gi0/20
  91    3423.ba57.dfee    DYNAMIC     Gi0/20
  91    446d.570f.3443    DYNAMIC     Gi0/20
  91    485d.603b.6847    DYNAMIC     Gi0/20
  91    485d.60e4.d0cf    DYNAMIC     Gi0/20
  91    4cbb.5828.8965    DYNAMIC     Gi0/20
  91    502e.5c46.a320    DYNAMIC     Gi0/20
  91    5254.000a.4e68    DYNAMIC     Gi0/20
  91    5254.006f.ec8d    DYNAMIC     Gi0/20
  91    60e7.0119.eab7    DYNAMIC     Gi0/20
  91    60fa.cd72.0158    DYNAMIC     Gi0/20
  91    8438.358c.0b7f    DYNAMIC     Gi0/20
  91    847a.88c7.a2a1    DYNAMIC     Gi0/20
  91    9439.e50c.c9be    DYNAMIC     Gi0/20
  91    a477.60fc.0108    DYNAMIC     Gi0/20
  91    acf1.df9a.9b00    DYNAMIC     Gi0/20
  91    acf1.df9a.9b80    DYNAMIC     Gi0/20
  91    acf1.df9a.9c00    DYNAMIC     Gi0/20
  91    acf1.df9a.9cc0    DYNAMIC     Gi0/20
  91    acf1.df9a.9dc0    DYNAMIC     Gi0/20
  91    acf1.df9a.9ec0    DYNAMIC     Gi0/20
  91    acf1.df9a.9f40    DYNAMIC     Gi0/20
  91    acf1.df9a.9fc0    DYNAMIC     Gi0/20
  91    acf1.df9a.a040    DYNAMIC     Gi0/20
  91    acf1.df9a.a0c0    DYNAMIC     Gi0/20
  91    acf1.df9a.a240    DYNAMIC     Gi0/20
  91    acf1.df9a.a400    DYNAMIC     Gi0/20
  91    acf1.df9a.b280    DYNAMIC     Gi0/20
  91    acf1.df9a.b400    DYNAMIC     Gi0/20
  91    acf1.df9a.b480    DYNAMIC     Gi0/20
  91    acf1.df9a.b540    DYNAMIC     Gi0/20
  91    acf1.df9a.b600    DYNAMIC     Gi0/20
  91    acf1.df9a.c080    DYNAMIC     Gi0/20
  91    acf1.df9a.c340    DYNAMIC     Gi0/20
  91    acf1.df9a.c400    DYNAMIC     Gi0/20
  91    acf1.df9a.e4c0    DYNAMIC     Gi0/20
  91    d07a.b537.36eb    DYNAMIC     Gi0/20
  91    d092.9e08.0680    DYNAMIC     Gi0/20
  91    e03f.4919.7850    DYNAMIC     Gi0/20
  91    e880.2ebf.536f    DYNAMIC     Gi0/20
  91    e892.a4fc.7e3b    DYNAMIC     Gi0/20
  91    e899.c4c3.a088    DYNAMIC     Gi0/20
  91    ec55.f921.4ade    DYNAMIC     Gi0/20
  91    fcc2.de90.d198    DYNAMIC     Gi0/20
  98    0008.e33a.29d5    DYNAMIC     Gi0/20
  98    0018.742c.8880    DYNAMIC     Gi0/20
  98    001e.7a78.8be8    DYNAMIC     Gi0/10
  98    2c44.fd10.d056    DYNAMIC     Gi0/20
 100    0000.7499.7770    DYNAMIC     Gi0/20
 100    0002.44bc.66a1    DYNAMIC     Gi0/20
 100    0002.ab0d.c97f    DYNAMIC     Gi0/20
 100    0002.b3d7.90d6    DYNAMIC     Gi0/20
 100    0004.614e.5be8    DYNAMIC     Gi0/20
 100    0004.e233.9e7a    DYNAMIC     Gi0/20
 100    0008.e33a.29d5    DYNAMIC     Gi0/20
 100    0009.6b71.9cc3    DYNAMIC     Gi0/20
 100    0009.6b89.0666    DYNAMIC     Gi0/17
 100    000b.3f10.3c1e    DYNAMIC     Gi0/20
 100    000c.292b.2da3    DYNAMIC     Gi0/20
 100    000c.2934.5202    DYNAMIC     Gi0/20
 100    000c.42ae.1bb8    DYNAMIC     Gi0/20
 100    000c.4604.d6d4    DYNAMIC     Gi0/20
 100    000d.6020.8228    DYNAMIC     Gi0/20
 100    000d.6084.98d3    DYNAMIC     Gi0/20
 100    0010.b568.8d3f    DYNAMIC     Gi0/20
 100    0010.b581.663e    DYNAMIC     Gi0/10
 100    0014.5e20.82c1    DYNAMIC     Gi0/20
 100    0014.d111.9a47    DYNAMIC     Gi0/20
 100    0015.1718.7c51    DYNAMIC     Gi0/20
 100    0015.17ab.b108    DYNAMIC     Gi0/20
 100    0015.605e.e785    DYNAMIC     Gi0/20
 100    0016.763a.25e3    DYNAMIC     Gi0/20
 100    0018.742c.8880    DYNAMIC     Gi0/20
 100    0018.e7e2.e1f9    DYNAMIC     Gi0/20
 100    0019.667a.9528    DYNAMIC     Gi0/20
 100    0019.99a0.39bb    DYNAMIC     Gi0/20
 100    0019.b974.679f    DYNAMIC     Gi0/20
 100    001a.9204.1a00    DYNAMIC     Gi0/20
 100    001a.a019.c651    DYNAMIC     Gi0/20
 100    001c.f058.0e12    DYNAMIC     Gi0/20
 100    001c.f080.46df    DYNAMIC     Gi0/20
 100    001d.0fee.4b6b    DYNAMIC     Gi0/20
 100    001e.4fd4.d02a    DYNAMIC     Gi0/20
 100    001e.5811.3c25    DYNAMIC     Gi0/20
 100    001f.d094.bbb3    DYNAMIC     Gi0/20
 100    001f.e263.4699    DYNAMIC     Gi0/20
 100    0021.0419.a989    DYNAMIC     Gi0/20
 100    0021.5e54.7186    DYNAMIC     Gi0/20
 100    0021.5e54.776c    DYNAMIC     Gi0/20
 100    0021.a0f4.2e29    DYNAMIC     Gi0/20
 100    0022.648a.5a1c    DYNAMIC     Gi0/20
 100    0023.0484.5468    DYNAMIC     Gi0/20
 100    0024.0193.524f    DYNAMIC     Gi0/20
 100    0024.01df.c886    DYNAMIC     Gi0/20
